中国中共中央党校	销售部经理
科尔沁艺术职业学院	动画编剧、编辑
北京宋庄中学	厨师长
响石九中	炒川菜,粤菜略懂
临川二中	销售工程师
天津市广播大学	销售
吴江市庞阳中学	生产厂长兼管理部副理
华北电力大学	电气工程师,财务总监,会计,技术总监,经理,销售经理,项目经理,高压电工,人事行政经理/绩效薪酬经理,办事处主任
黑龙江省肇源县技工学校	焊接
遂宁市白马高中	软件测试,软件测试工程师,实施工程师,销售,班长及年级组长,采购,办公室主任,android工程师,数据编辑,android开发
LUODING INSTITUTE OF PROFESSIONAL TECHNIQUES	LEAN champion
北标技校	消防安保主管
洛阳师范/	软件工程师,研发工程师
沈阳工程许愿	高级管理
武汉理工 大学	总经理/分总,人力/营销总监
宝鸡技师学院	
韶关市供销学校	财务主管
甘肃省定西市东方红中学	司机兼业务,司机
浙江大学医学院	内科医生 英语翻译
南京大学(自考)	督导,店长
河北固安第一中学	
湖北武汉高级中学	生产组长
青岛新港科技学院	ASP.NET工程师,php程序员,平面设计师,ASP.NETt程序员,银行客服,软件测试,ASP.NETt技术员,UI设计师,网页设计师,销售顾问
广西贵港市桥圩高中	应急电源研发助理
北京师范大学（高教自考）	教务
北京自动化工程学校	质检,库管,普工
广西桂林理工大学	水文，水文地质，水利水电,俄语翻译,助理,采购
沈阳航空航天大学（沈阳航空工业学院）	经理、总工、总监、技术部长
天津新华职大	分析师助理,巡店员,IB业务岗,客服, 接待,人力资源总监
北京联合大学商务学院（BCBUU）	课程顾问助理
郧县一中	销售员
湘潭职院	塑胶模具师傅,技工,人力资源经理,钳工
连云港师范高等专科学校	人事行政专员,媒介经理,经理助理,区域销售经理,文员,助理,大客户经理,行政助理/专员，单证员，报关员..,销售经理
Inner Mongolia Normal University	俄语海外客服
芬兰罗瓦涅米应用科技大学	营销员和讲师
中央农业广播电视学校	环保专员,销售管理
固原市师范大学	客服部主管
广州市乡镇企业干部学院	项目主管
北华师范学院	行政，人事助理,客服,销售
河北丰宁职业技术学校	维修电工
湖南第一师范	英语教师,区域经理,招商经理 ,会计,IOS 工程师,电子工程师/单片机工程师,软件实施工程师,国际业务员,财务助理,翻译
长治职高	销售
上海电视大学	会计,财务主管,行政助理,人事助理,主管会计,项目经理,财务,人事专员,销售经理,财务助理
九江学校	电子商务主管,电子商务总监,电子商务部经理
临武一中	SMT工程师,SMT经理
湖南安化县一中	业务
加拿大圣利嘉学院	助理/秘书、客服、物业
哈尔滨市第二十六职业高中	前厅主管,前厅经理,值班经理
不伦瑞克工业大学	结构工程师
武汉海军工程学院	电气事业部 | 行政专员/助理
Jilin Agricultural University	研发人员
深圳第二高级技工学校	平面设计
清华大学（威尔士）	供应链管理经理,销售主管,副总经理,射频工程师、硬件工程师、测试工程师、研发及技术接口人等相关工作,模具开发工程师,supervisor,工程总监兼项目经理、技术负责人,分厂厂长,销售员,行政总监
中國海事專科學校	行政總主廚
南京三江大学	经理助理、文员,会计,审计,税务
sichuan normal university	市场助理,办事处主任，销售经理，总经理助理,董事会秘书,量化投资研究员,猎头助理,行政助理,咨询顾问,Lawyer
天津经济技术大学	销售经理
北京尚视德睿全方位设计师教育培训机构	
Southwest University for Nationnalities	客户经理
内蒙古巴盟师范学校	中餐厅副经理
经贸外语学院	销售经理
汨罗市财贸职业中专	摄影师
中国艺术研究院	产品企划经理,摄像师,运营总监,媒介主管,表演\台词主讲老师,编剧、策划、责编,活动策划及执行,主编、制片人、节目总监,市场经理,舞美设计部总监
第一汽车制造厂职工大学(建工学院代培)	项目主管,总工程师
Guangdong Vocational College Of Industry & Commerce	外贸业务跟单员
湖南省师范学院	行政部经理
穆棱一中	电子相关专业职位
四川省卫生学校	护士
中山大学（在读）	培训师/团队管理,软件测试工程师
洛阳高专	电气技术员
摩洛哥穆罕默德五世大学	销售经理
山东省职业中等学校	
湛江市第二技工学校	采购专员
天津海滨学院（南开分院）	大客户经理
河北省唐山市高等专科学校	会计
攀枝花学院	资料员,电气工程师,电气技术员,土建工程师,单证,会计,技术员,关务,业务跟单,文案顾问
北京市花园路职业高中	司机,行政总监,助理,平面设计师,包装设计师
金堂县职业高级中学	工程现场管理,工程内业管理,行政手续办理
山东农大	财务总监
蔡甸中专	锅炉工
北京大学法学院	客户经理,助理，翻译，出纳，统计，办公室主管,市场开发,人事行政经理
北方科技管理学院	电气工程师,销售经理,软件工程师
大连东软信息技术职业学院	运维工程师,软件测试、HR,嵌入式硬件工程师或助理
云南省丽江市云南大学旅游文化学院	商务（内勤）主管
北京金驼技术学校	
Wuhan Polytechnic University	高级生产主管,电子工程师
湖北水利水电职业学院	电气技术员
中国石油大学（北京）	机械工程师,会计主管,机械设计,结构工程师,金融行业会计、审计,软件工程师,项目经理,技术人员,高级产品经理,区域经理
湖北商业服务学院	
衡东职业中专	电子工程师/技术员
河南许昌学院	外协调度,项目经理,土建预决算
德国埃姆登应用技术大学	研发人员
北京工业职业技术学校	行政主管\行政经理
全国法院业余法律大学	法务总监
淡定淡定	高级管理
辽宁美术职业学院	服装设计师,服装设计师助理,收银,摄像,实习设计师,FLASH动画设计师,导购员,前台接待
吉林工程师范学院	PHP开发工程师,PHP
江苏农垦职工大学	总监
四川市场经济学院 |	副总经理,行政人事经理,人力资源总监
福泉市第四中学	楼宇自控施工,安防施工
青岛法语联盟	销售经理
首都经贸大学研究生进修班	物业、安全经理,环境岗电工
红光职大	工程部主管、领班
国内知名一流大学	总监
福州大学工艺美术学院工业设计系本科毕业	资深ID/工业设计师
威海教育学院	SQE、QE QC QA 项目经理,质量经理,审核员,质量工程师,企业社会责任审核员
衡阳科技职业学校	外贸专员,外贸进出口
布兰迪斯大学	投资分析,私募股权
北京市通州区技术学校	导购
广西外国语学院	会计,会计助理,外贸跟单员,外贸业务员,西班牙语翻译,船务文员,外贸专员,出纳
广东省轻工业技工学院	KA副经理
无锡太湖学院	会计助理,会计,行政，助理，秘书，,专员,java开发工程师,管理培训生,IOS开发工程师,助理,机械工程师,技术类实习生
重庆水利电力职业学院	施工员,监理员,测量员
江苏南京财经大学	会计
湖北理工学院(旧称黄石理工学院)	人事/总务课长
TianJin Professional College	人力资源助理
江西现代职业技术学校	
唐山启奥实训基地	java软件工程师
新世界日语培训中心	软件工程师
广东外语外贸大学	会计,日语翻译,外贸业务员,客户经理,总经理助理,翻译,采购员,英语翻译,营销类,英语教师
湖南省供销学校	财务主管
甘肃省兰州市东方学院	厨师
湖南省常德财经学校	会计
山东省机械工业学校	财务经理
海南政法职业学院	督导,策划专员,行政主管,人事助理,策划助理,人力资源经理,车队助理、生产文员、生产统计
上海新鹿职业技术学校	总经理助理、行政主管
江西省应用工程职业技术学院	董事，常务副总经理
山东省菏泽农业学校	销售经理
吉林俄语专修学院	招商、渠道、销售,人事专员,人事助理,行政专员,翻译 ,俄语翻译,业务,俄语销售
中州技校	PCB维修技术员
南京市商业学校	销售经理
夏威夷太平洋管理学院	 asst Management,Vice Management
Curtin University of Technology, Perth	金融业投资银行业务和证券分析师职位
美国犹他州立大学	项目经理,实习生,工程师,新闻部实习编辑,市场及战略部经理,培训生,总裁助理及财务总监,律师,销售经理,助理营销部经理
广州市公用事业技工学校	广州依霓服饰有限公司
广东工程职业技术学院	会计,会计助理,CAD绘图员,预算员,造价员,室内设计助理,市场营销专员,质检员,客户经理,采购跟单/质检
新化六中	销售代表
同济网络学院	Secretary to GM,Executive Assistant ,Admin officer
韩国全南国立大学	设计助理,翻译,讲师
清 华 大 学	系统开发部经理
天津新华职工大学	行政专员
辽宁工业大学	工业设计,机械设计,技术员,软件工程师,学员,机械工程师,行政人事部助理,主管会计,技术岗位,客户经理
九江学院	会计,外贸业务员,出纳,测试工程师,IT技术、计算机硬件、网络,机械设计工程师,财务助理,机械工程师,会计助理,工程师
华东师范大学	软件工程师,管理培训生,项目经理,人事经理,机构销售 业务拓展 客户关系,产品经理,系统技术支持,咨询顾问,销售,英语教师
番禺农校	会计,出纳
约克大学艺术院荣誉学士学位（传媒广告设计）	副总经理
武汉科技学院（即武汉纺织工学院）	技术指导,厂长/副厂长,部门经理
渭南职业技术学院	采购专家,护士
青海省民族学院	人力资源总监或经理
广东轻工职业技术学院(全国重点示范)	行政与人力资源管理
广东省交通职业技术学院	客户经理,销售督导,报关员,船务,销售主任
湖南省祁阳一中	副总经理,工程部经理,总工程师
湖南商务职业学院	软件工程师
北京印刷学院印刷与包装工程学院	印务,印刷工艺,印制
邢台市技师学院	电气工程师
信息管理学院	人事　行政　助理/秘书
美国普渡大学	PPS,总经理、副总经理,环保工程师；环境安全顾问/咨询；环境健康安全（EHS）工程师
湖北省仙桃市经济管理中等专业学校	人事/总务课长
对外经济贸易大学(自考结业)	人事工作,行政工作,经理助理
山西交通学院	客服,销售,人事经理
陕西压延中技学校	高级车工
武威职业技术学院	smt作业员,技术工
XXXX	高级翻译
北京市成人教育学院	经理 策划 文案,财务经理
第三军医大学	总经理,置业顾问
Henan argriculture university	厂长、生产经理
新仓中学	厂长,经理
复旦学院	质量工程师
佛山职业技术学院	销售代表,会计助理,储备干部,市场专员,软件工程师,培训师,会计文员,项目管理,PHP开发程序员,审计助理
Shanghai Jiguang Polytechnic College	
桂林工业大学	销售部总监助理
曾都职校	注塑领班
福建省福鼎市第三中学	高级研究员
中南大学建筑与艺术学院	插画师,包装，vi设计师,平面设计师
江西南昌学院	专线批发销售,客服代表,门市接待
张家港市后塍高级中学	人事专员,助理文员,文秘或助理,报关员  外贸业务员,话务员助理,文员,软件测试,行政人事主管,行政助理,行政助理；行政文员；
安徽淮南联合大学	业务助理
贵州建筑材料工业学校	服务顾问,销售顾问
遂平 二高	钳工
中国地质大学（武汉）	软件工程师,会计,硬件工程师,副总经理（分管生产）,电子工程师,品质经理,助理工程师,财务主管,研发工程师,电路工程师
重庆大学机械工程学院	项目经理，供应链管理,
广州市宏知职业培训学校	总经理助理
湖北横车高级中学	模具设计工程师
重庆瑞山中学	调酒师,花式调酒师
四川理工学院	软件工程师,会计,项目经理,施工员,平面设计,设计师,机械工程师,人事主管,电气工程师,实习生
广通科技学院	会计文员
四川省达州百岛湖职业学院	置业顾问
成都艺术职业院	预算员,资料员,工程造价
内蒙古医院附属卫校	置业顾问
北大青鸟深圳中青分校	PMC
黑龙江建筑学院	土建工程师,服务经理,SNS游戏FLASH美术师,助工,行政专员,建筑设计工程师,策划助理,人力资源主管
舞阳职业高中	电工
宁乡四中	客服
天津外国语学院附属外国语学校	翻译，行政管理
江西省水利水电学院	
上海三门路职业技术高中	市场营销
广西陆川中学	物流/仓储主管/专员,零售,PMC
安钢职工大学	工程副总,总工程师,项目负责人
Fordham University	Consultant,投资 金融 航空
龙岩市交通技校	采购员
安徽滁州学院	化工操作工,区域销售经理,化工分析员,销售主管,采购员,化工技术员,销售经理
黑龙江食职业学院	招聘助理
中沙一中	行政司机,司机
普通高中	水性涂料样板制作,司机,接待
廊坊炮兵指挥学院	部门主管,高级销售,大客户销售
马来西亚砂劳越大学	
法国巴黎第十大学	法语翻译,高级贵金属分析师、讲师、培训师
山东师范大学	俄语翻译,人事助理,财务经理,高级软件工程师,软件工程师,高中数学教师,人事专员,研发主管,项目经理,教育
番禺广播电视大学	副总经理（常务）
Shanxi engineering vocational college	促销员,java软件工程师,Android开发工程师,php程序员,数据库管理员,工程资料员,自动化工程师,核算员,web开发,西门子PLC编程调试
中建六局技术学校	技术工长
江西财经大学（自学）	媒体顾问
约克大学	业务总监,英语幼教,金融数据专家
江苏理工大学（现名江苏大学）	工厂经理
北京现代大管理大学	软件测试工程师
湖北郧阳师范高等专科学校	培训主管
武汉市新洲区第二中学	电子商务
长沙职工大学	生产管理,售后服务工程师,项目经理,品质主管
天津城市建筑学院	施工员,深化设计师
宁波市工程学院	水电暖安防智能化
GD University of Technology	客服部
英国斯泰福厦大学	人事主管,渠道专员
上市桥高中	电子工程师 硬件工程师 电子研发工程师
武汉河专	厂长,副总,工程师
South-Central University For Nationalities	人力资源助理,销售经理
辽宁省房地产管理学校	主任预算师
耒阳市科技学校	仓库组长
石首市中等职业卫生学校	市场部经理
北京汇才中学	文员,兼职录入,录入员
广州智新职业技术培训中心	业务代 表,商务,业务助理
云南铜业高级技工学校	会计,审计,出纳
江西服装学院（大专）	设计师
南京林业大学	实习生,科长,景观设计师,公关经理媒介经理,记者,财务,项目经理,营运管理,施工员,机械工程师
青岛化工学院	厂长,生产经理,生产经理、安全环保经理、生产副总,车间主任,项目总监,会计主管,工程主管,培训发展部经理,投资部副总,集团技术管理中心技术主管
太原新华	手机维修员工
德阳市西南工程学校	维修技师
蓬溪中学	生产操作,会计
山东大学  烟台南山学院	市场营销专员
江苏电力建设技校	江苏网络经理
伊犁师范学院	iOS软件工程师,测试工程师,化工类,售前技术支持
广东轻工业职业技术学院	电话销售员
南县第二中学	结构设计工程师
南宁地区中等职业卫校	医药销售经理,小车商务司机,物流跟单员
北京海淀职工大学	商业贸易,房地产开发、物业管理,生产企业
湖北省罗田县第一中学	web前端工程师,JS工程师,web前端开发
洞口中学	客服,司机，驾驶员,电话销售,机电维修，液压
新加坡南洋理工大学(NTU)	人力资源总监-副总裁
Rochiville	副总经理,招商总监
松滋第一中学	售后服务经理,维修厂长
郑州经贸职业技术学院	软件测试工程师,网络管理员,产品工程师
广播电影电视管理干部学院	策划,AE,动画设计,摄像助理,动画合成,flash设计,动画场景师,MAYA动画师,文案,app/sem推广主管
首都师范大学高等美术研究学院	影视特效
安岳实验中学	软件测试
北京理工大学（华北计算机系统工程研究所）	软件开发工程师
南京工业学校	市场总监,运营总监,总经理,副总经理，营销总监
Lingnan College Sun-Yesen University	集团人力资源部 人力资源经理（组织发展）
包头市一机一中	中学政治教师,作文教师
汨罗市一中	
泰安师专	行政主管
黄科科技学院	Java高级工程师
北京市财贸职业学院	中级店铺陈列师,会员俱乐部主管,行政助理
聊城高级财经职业学校	前台接待
河北唐山职业学院	服装设计师,服装设计总监,开发总监,导游
电子科技大学_中山学院	RFID 电子工程师
福州黎明职业技术学院	销售经理,营销部,总监、副总
沈阳建筑工程	总经理
重庆中央电大建筑管理	土建工程师,景观工程师
江西公安专科学校	销售经理,区域经理,省区经理
四川省德昌县五一职业学校	厨师、司机、电子厂普工
天津市汉沽职业中等技术学校	Senior Merchandising
湖南工业大学（原株洲工学院）	副总经理，总监，经理,销售工程师
湖南石化学院	.NET工程师
内蒙古农牧学院	销售经理,水暖工程师
重庆工商大学	会计,销售经理,施工员,实习生,销售助理,高级管理,管理培训生,销售管理,客户主任,置业顾问
江苏商业专科学校（扬州大学）	文化产业部消费服务管理/摄影摄像,酒店总经理,餐饮管理 研发 人力资源 员工关系 员工餐厅
市42中学	营销经理
中山技校	业务
武乡中学	培训顾问
建德市新安江高级中学	检测员
江西丰城中学	电气工程师
太原科技大学(原太原重型机械学院)	知识产权相关,项目经理,执行经理,品牌推广总监,甲方代表,机械项目总负责人,机械设计
河南教育学院（自考）	
老家高中	平面设计,策划助理
中华全国律师函授中心	法律总监，高级律师。,总法律顾问
西南政法大学经济法学院	人力资源专员
上海港湾专科学院	客服部经理
贵州省遵义县第五中学	人事专员/主管
江西新余高专	结构工程师
上海应用技术学院,原名:上海冶金专科学校	制造和工程部经理
Liaoning Institute of  Technology	对外汉语教师
扬州化工职业技术学院	生产现场
日本国	副总经理
成都电子科技大学	项目经理,技术支持,开关电源工程师,射频工程师,管理,信息技术主管,销售代表,技术支持工程师,生产厂长,项目经理、财务主管
Ecole SUPDEMODE	商务顾问,平面设计,Marketing Specialist,Marketing Manager,法语相关工作
自贡盐业学校	设备工程师,设备/维修主管,维修工程师
广东省深圳市深圳大学	出纳、行政助理,系统工程师,技术支持
澳大利亚卧龙岗大学 University of Wollongong	物流
骏台电子情报专门学校	软件测试
大连电子学校	自动化编程师,电气工程师,售前经理,自动化工程师,PLC应用工程师
微软中国培训	行政兼网络主管
山东省安丘市关王中心中学	活动策划、行政总监、行政助理
广东华南文艺学院	媒介总监
德国柏林工程应用科技大学	电子商务总监 电子商务总经理 网络运营总监 VP
山东高等医科学院	护士
广州市二宫职业技术培训学院	施工队长 技术员
Hallym University	网络商盟策划
梅州市（兴宁）兴民高级中学	助理工程师,高级技术员,工程师
界首市朝阳高级中学	卖场经理,区域经理
环球美联	软件测试,项目经理助理
杜伦大学 （Durham University，英国）	教育管理,教师
永乐店中专	电工
内蒙古赤峰市赤峰学院	java 软件工程师 研发
Dongguan University of Technology	出纳
奥鹏南开大学	运营专员
华东理工大学继续教育学院	销售工程师
北京金融学院	销售经理,业务营销管理部常务副总经理,大堂经理助理,律师助理,财务会计,法务,大堂经理,自由职业,助理,编辑
北京市技术交流站	强电主管
齐齐哈尔饮食服务学校	店长
汨罗市工业中专	项目主管,司机
中科院软件所	经理
普华永道	风险管理部 授信审查审批,运营副总
南京大学继续教育学院	业务主管,海运出口操作
华南理工网络学院	嵌入式驱动工程师,嵌入式软件工程师
四川省绵阳中学	项目主管、汽车设计、航空、航天器设计工程师、机械工程师,会计主管,总裁秘书/助理
忻州市技工职业学校	GUI界面设计师
大连金融高等职业技术专门学校	软件测试
河北师范大学软件学院	总经理助理
齐齐哈尔铁路工程学院	项目总工,项目经理,给排水及消防工程师
西京大学	平面设计师,销售经理,施工员,工程师助理,Java工程师,工程师,建筑工程验收,软件工程师,店长,计划主管
贵港市民族职业技术学校	钳工+售后服务
潮州市职工业余高中	业务,行政,司机
重庆第一财贸校	SMT工程师,车间经理/主管,SMT经理(主管) 
兰州大学外国语学院	高中教师
北京语言大学网络学院	php程序员
徐州工业学院	SQE供应商品质管理,销售工程师
梅县新城中学	预算员
蓝山一中	促销督导
University of Science and Technology of Beijing (USTB)	Technical service engineer
普宁侨中实验学校	采购
北京卓达经济管理研修学院（业余华北科技学院工程造价）	设计主管
北京市西城区铁路二中	客户经理,销售经理,销售工程师
辽宁石油化工学院	项目经理
changwon national university	设计工程师
河南信阳职业技术学院	设计工程师
北京财经干部管理学校	行政后勤
中山大学岭南学院	中心运营经理,cleck,总住院医师,Sales promotion supervisor,市场部经理,生产总监,物流总监,副总经理兼管理者代表职务；,集团人力资源部 人力资源经理（组织发展）,促销主管、媒体主管
美国威斯康辛大学拉克罗斯分校	营运总监
鄱阳中学	业务主管,督导,兼职,业务员
西澳中心科技学院	英语教师
重庆市94中	会计助理,出纳
开原电校	维修电工
tan北京工商大学	客户主管实习生
广西 河池学院	单片机工程师（助理）,硬件工程师（助理）,电子工程师（助理）
江门第一中学	数控车床操作工
百色市  商业学校	注塑领班.组长
中央广播电视大学天水分校	品质经理,质量主管
新余职业学校	服装设计（童装设计）
湖北省武汉工业大学	副总经理,接待员,总经理,常务副总
衡水职业中专	司机
Guizhou University	土建工程师,总监代表,设备主管,项目主管   机电工程师,人事总监   ,项目主管,制造课长,生产管理工程师,CEO高级助理,管理会计
TDK	制造课长,技术员,企划
揭阳惠来第二中学	会计助理，会计，出纳
泉州纺织服装职业学院	福建区域经理
广州市北大青鸟（湘计立德）培训中心	
Taiyuan Institute of Technology	产品经理，售前技术，软件工程师
复旦大学成人教育学院 (自学考试 肄业)	财务总监,CFO
无锡太湖技工学校	销售经理
法国巴黎第七大学 （Université Paris Diderot）	
KUIS (Kansai University of International Studies)	deputy general manager
四川工程技术学院	业务主管,品质工程师,采购
法国巴黎第五大学、法国巴黎第七大学	法语语言培训师 、法语翻译、心理老师,企业管理人员,金融业管理人
TU-Chemnitz	金融数学分析,海外市场,国际贸易
上海协昌缝纫机厂技校	机修工
邵阳市机电工程学校	经营管理分析,总帐会计,内部审计
一德中学	模具工
深圳市深山老林网络培训学校	网络营销专员 网络推广专员
武汉科技大学中南分校	电气工程师,生产计划,活动策划与执行智利,店长,项目经理/售前工程师,项目管理,拓展,值班经理,基带工程师,嵌入式产品研发
四川自贡	货车司机
上海市五十六中学	人事专员,区域销售经理,plc电气工程师,讲师助理,培训师,日语翻译,日语助理
辽宁经济干部学院	计划，商务助理
Nan Jing University of Information Science and Technology	
吉林商业高等专科	吉林省经理
四川省广播电视大学	常务副总，总经理，厂长,贷款顾问,办公室主任,总经理助理,幼儿教师,店长,行政助理,工程主管  合约主管  ,媒介主管,市场主管
广东外语外贸大学（公开学院）	行政文员
华北水利电力大学	服务员,前台接待,外宾接待员
海南科技职业学院	ui设计
贵州省委党校	行政部门经理、办公室主任、人力资源部经理
都昌慈济中学	业助,仓管,物控
常州无线电工业学校	生产主管,生产经理,质量工程师,计划主管
中南名族大学工商学院	软件测试工程师
北京首都师范大学	生产总经理,行政前台,人事及行政类,家具店面店长,DMS实施顾问,软件工程师,多企企业管理顾问有限公司,酒店业务助理,酒店预订员,餐厅经理
三门峡中等专业学校	单片机，嵌入式软件开发
嵩县五中	焊接工人,生产调度
天津南开大学	项目经理,区域经理,经验管理,海关事务部门经理,主任,店长,会计主管,给排水、暖通工程师,主管,平面设计
上海第一商业局职工大学	副总经理
河北科技大学机电学院	销售
石家庄计算机职业技术学院	linux运维,高级软件工程师
吉林市机电中等专业学校	业务员
省电台电脑培训学校	工程部技术员
北京市新闻出版干部学校	图书出版发行
黄陂高中	售后,销售,UPS技术工程师
深圳大学（自考中）	物流主管
内蒙古电子信息职业技术	JAVA工程师
上海 技校	汽车电工
南昌陆军学院	货车司机,专线跟单员
河北省体育学院	业务代表
天津电子信息职业技术学院	助理,网络工程师,维修/设备工程师,市场部,IT专员,模具设计,其他文职行业,修图,手机硬件 测试调试 中试,生产技术员
云南省曲靖市民族中学	法务助理
苏州高博软件技术职业学院	运营管理,督导,软件测试工程师,初级软件测试工程师,测试工程师
Loughborough University	机械工程师,技术支持,会计,实习生,软件工程师,销售经理,项目经理,工业设计师,工艺工程师,助理工程师
内蒙古大学艺术院	
上海侨友进修学院	客服,呼叫中心人员,电话销售
宁远第三中学	销售代表
岳阳中山职业科技学校	维修电工
沈阳职业技术学院汽车分院	技术讲师,售后内训师,技术经理
石家庄技师学院	机械设计
Jiangxi Environmental Engineering Vocational College	Furniture QA/QC
国际商贸学院	电子工程师
University of Newcastle Australia	客户经理
石家庄广播电视大学	汽车销售顾问,资料员,技术员,施工员,销售代表,置业顾问,销售主管
方城一中	厨师长
广州华南商贸	人事专员
广州多迪PHP培训	行政主管,总经理助理
辽宁函授党校	班长
庄口中学	结构工程师
江西机电技术学院	绘图员
羊册镇第二中学	焊接
山东外事翻译职业学院	销售
天津静海六中	cad 绘图
河北师范大学（自学本科段）	Administration
江西东南学院	IT部经理
putian university	进口采购，商品管理
Drake University	画廊管理
四川轻工工程学校	设备工程师
中日企业管理培训中心	高级ued经理
wuxi  professional  college of science and technology	采购经理,仓库经理,采购主管
黑龙江省鸡东县职业高中	消防员,内保,后勤
布莱顿大学	技术，研发，生物，制药
北京市广播电视学校	会计助理
法国新索邦大学（巴黎第三大学）	项目管理，传播与发展
无锡市职工大学	电子工程师
解放军通信指挥学院	客户经理,销售
中央民族大学美术学院	美术教师
 徐州师范大学工学院	设备主管 设备经理
北京瑞利职业技术学校	销售部经理
中国美术学院自考	绘图员，设计师助理
黑龙江省牡丹江师范学院	英语教师,经理助理,培训总监/经理,影视后期制作,俄语翻译组长,行政人事经理,设计师、施工监理
北京建筑大学	施工员,技术员,安装预算,活动策划,总工,造价员,运输、快递,房地产测绘,活动导演,项目经理
汕头技术学校	销售经理,销售主管
四川大学（网络教育）	预算员,项目经理,项目工程师
隆尧县高中	厨师
河南大学 自考	店长/经理
内蒙古科技大学（包头医学院）	住院部护士
广东省机械技师学院	会计,出纳,电工,维修,助理会计,客服主任,监控工程师,服务顾问,财务助理,plc
北京生物研修学院	呼叫中心网络客服,售前支持工程师
青岛市化工学院	市场分析/调研人员
江西航天科技职业学院	PCB Layout Team leader(PCB Layout Team leader),高级硬件工程师
邢台职教中心	行政专员,销售助理
广州市机电职业高级中学	仓库管理员
北京石油化工学院	项目经理,工程师,电气工程师,机械设计,人力资源经理,会计,机械设计工程师,需求分析,主管,行政主管
北京市国际经济贸易学院	测试主管
广东肇庆诚实外语学校	模具主管,平面设计师,品质课长,模具经理,日语翻译,行政主管
Central University For Nationalities	税务专员（实习生）,风险管理部法务实习生,Senior Appraiser,战略发展部/企管部/审计部 \t部门主管
湛江农垦东方红中学	灌装技术
日本三重大学	副总经理,总经理,总裁代理，部长
东风高级技工学校	电子技术员/电子工程师助理
湖北宜昌枝城第一中学	区域销售经理
南昌科技大学	产品工程师,平面设计师
上海交通大学夜大学	渠道经理,质检主管,行政,海运操作经理/船务
广东商学院东莞庄	、工厂长(副总经理)、人资行政总监/经理、总经理助理,院校教学管理人员,行政管理
河北科技师范学院 外语系	翻译
尚观科技	嵌入式软件工程师,运维组DBA
成都高级技师学院	生产主管
四川成都五月花计算机专修学院	美容讲师
派潭中学	行政助理,人事助理,培训助理
北京大学-国际关系学院	系统集成项目经理,项目经理,弱电项目经理
长安大学硕士在读	高校辅导员 环保工程师
苏州高等幼儿师范学院	策划文案
平谷区第一职业高中	网络维护管理员
东田造型学校	专柜店长
周口科技职业学院	影视后期,维修工程师,剪辑师,包装,技术部
无棣一中	库房管理,叉车司机,中.西面点师,司机,数控车工
河南鹤壁职业技术学院	食品质量管理
复旦大学经济学院	研究主管、投资经理助理
河北工商管理专修学院	厂长助理
清华万博网络工程师培训	项目经理,网络工程师,IT主管
奉贤工业学校	电气主管
广东中科理工学校	助理工师、测试
金田中学	客服
深圳龙飞电脑培训中心	机械维修工程师
江西赣州电子工业技校	任公司生产副总经理兼工厂常务厂长
邯郸市广播电视中专	产品代表
秦皇岛中专	钢结构工程主管
沈阳机电工业技术学校	操作工  和  质量监察员
云南技师学院	施工员,资料员,测量员
大连水产学院（现大连海洋大学）	销售管理；技工；客服及技术支持；销售人员；给排水/暖通工程
